ANIO,TIPO_UNIV,NIVEL_ACADEM,OF_ACADEM,DISCIP_OCDE,DISCIP_ESPECIF,TIPO_ALUMNO,U_MED,VALOR
2015,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,28.439
2015,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,866
2015,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,21.836
2015,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,59
2015,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,617
2015,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,39
2015,Publica,Posgrado,Doctorado,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,319
2015,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,44
2015,Publica,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,618
2015,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,183
2015,Publica,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,653
2015,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,69
2015,Publica,Posgrado,Maestria,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.009
2015,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,10
2015,Publica,Posgrado,Maestria,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,244
2015,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,235
2015,Publica,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,4.377
2015,Publica,Pregrado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,45
2015,Publica,Pregrado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,4
2016,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,124
2016,Privado,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,1.375
2016,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,135
2016,Privado,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,2.322
2016,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,29
2016,Privado,Posgrado,Especialidad,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,81
2016,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,3
2016,Privado,Posgrado,Especialidad,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,61
2016,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,119
2016,Privado,Pregrado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,528
2016,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,1.636
2016,Publica,Grado,Otros,Ciencias Agricolas,Ciencias Agropecuarias,ESTUDIANTES,Cantidad de personas,27.251
2016,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,EGRESADOS,Cantidad de personas,906
2016,Publica,Grado,Otros,Ciencias Agricolas,Veterinaria,ESTUDIANTES,Cantidad de personas,22.460
2016,Publica,Posgrado,Doctorado,Ciencias Agricolas,Ciencias Agropecuarias,EGRESADOS,Cantidad de personas,69
